cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HTLV1	2267
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL250-C1_S02	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HTLV1	2195
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL210-C2_S05	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HTLV1	1988
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL203-C1_S06	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HTLV1	1917
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL217-C1_S09	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HTLV1	1859
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL207-C1_S02	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HTLV1	1423
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL306-P1_S03	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HTLV1	1282
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL235-C1_S08	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HTLV1	1210
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL305-P1_S02	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-P2_S06	HTLV1	1037
